Education,Experience_Years,Programming,Python,SQL,Machine_Learning,Cloud,Communication,Leadership,Data_Analysis,Electronics,Networking,Linux,Project_Count,Certifications,Job_Role,Salary_LPA
B.Tech,5.0,9,5,3,2,7,5,6,2,4,8,9,7,3,Cloud Engineer,20.81
M.Sc,2.3,8,7,5,10,6,6,3,10,3,7,8,4,2,ML Engineer,17.89
B.Tech,3.6,7,9,7,8,6,7,5,9,3,3,5,5,2,Data Scientist,16.69
B.Tech,1.8,10,8,5,10,8,6,7,6,5,6,5,7,1,ML Engineer,20.48
B.Tech,2.6,5,1,7,1,4,8,7,7,3,2,2,5,2,Business Analyst,14.84
B.Tech,5.9,8,10,7,8,8,6,6,7,4,6,7,8,4,ML Engineer,23.35
B.Tech,2.8,8,7,6,2,6,8,6,4,4,2,6,8,1,Software Developer,15.12
B.Tech,4.9,7,6,10,7,2,6,5,10,2,5,2,8,2,Data Analyst,20.85
B.Tech,3.0,5,4,4,3,10,6,4,1,3,10,10,6,2,Cloud Engineer,19.03
BCA,5.0,7,8,2,8,7,7,5,6,5,4,7,6,3,ML Engineer,23.18
M.Sc,5.2,10,6,6,10,8,7,4,8,4,5,7,7,1,ML Engineer,22.46
B.Tech,2.0,10,9,5,7,7,7,7,8,5,5,6,5,1,ML Engineer,18.57
B.Tech,3.0,6,2,6,4,8,5,4,1,4,8,7,4,2,Network Engineer,15.06
B.Tech,3.5,2,2,6,2,3,10,6,6,3,2,1,5,2,Business Analyst,16.23
M.Tech,2.9,9,9,5,9,4,7,6,10,4,5,3,6,0,Data Scientist,18.17
B.Tech,6.0,10,3,4,3,10,7,2,3,1,8,8,10,3,Cloud Engineer,23.92
B.Tech,4.4,4,4,8,2,2,9,6,9,1,4,4,2,3,Business Analyst,16.7
BCA,4.0,7,6,3,2,9,7,5,4,3,7,7,5,2,Cloud Engineer,18.59
B.Tech,3.2,7,7,5,5,8,6,7,3,2,8,8,6,0,Cloud Engineer,19.09
B.Sc,3.3,7,7,8,2,9,7,5,4,2,7,10,6,2,Cloud Engineer,17.8
M.Sc,2.7,5,6,5,1,10,6,7,3,1,8,8,4,2,Cloud Engineer,16.6
M.Tech,4.2,5,8,6,3,1,7,4,3,10,4,4,6,3,Embedded Systems Engineer,19.12
M.Sc,4.6,8,6,7,6,8,8,3,7,4,4,8,3,3,ML Engineer,20.65
B.Tech,3.0,8,8,8,6,7,7,5,9,3,5,8,5,1,ML Engineer,19.32
MBA,2.5,6,8,7,5,5,7,5,10,1,4,6,5,0,Data Analyst,13.72
MBA,3.4,6,10,8,6,1,7,4,10,2,6,4,5,2,Data Scientist,18.22
MBA,2.1,10,5,1,3,2,4,8,3,9,5,4,5,2,Embedded Systems Engineer,15.8
MBA,3.1,5,4,7,2,3,7,6,10,1,6,2,5,2,Data Analyst,18.37
M.Tech,3.0,6,8,8,2,7,7,4,5,3,4,6,4,2,Software Developer,14.18
B.Tech,0.0,8,5,7,4,5,7,6,10,5,3,3,0,0,Data Analyst,11.49
B.Sc,3.5,10,10,7,8,7,6,2,7,3,3,6,5,2,Data Scientist,17.45
BCA,2.4,8,6,4,2,4,5,3,5,10,7,6,6,2,Embedded Systems Engineer,17.29
B.Tech,2.9,7,3,1,2,6,8,4,1,1,9,8,3,2,Network Engineer,15.42
MBA,2.3,6,6,5,4,8,5,4,1,3,8,7,3,2,Cloud Engineer,14.54
B.Tech,0.9,8,9,6,9,6,7,3,10,1,2,4,3,1,Data Scientist,16.3
B.Tech,3.6,10,9,4,10,9,5,6,8,6,4,5,5,3,ML Engineer,18.36
MBA,2.8,9,1,6,5,2,6,4,2,9,4,5,5,1,Embedded Systems Engineer,15.69
B.Tech,1.4,6,7,7,3,4,6,6,8,2,2,1,3,3,Data Analyst,13.62
B.Sc,3.7,9,5,2,3,2,6,2,3,10,4,6,4,1,Embedded Systems Engineer,15.23
M.Sc,1.9,10,10,10,9,6,8,5,8,1,4,2,4,2,Data Scientist,15.12
B.Tech,1.8,7,4,3,1,2,5,4,2,10,5,5,2,2,Embedded Systems Engineer,12.81
B.Tech,3.6,9,5,4,2,2,6,3,3,7,5,6,5,1,Embedded Systems Engineer,15.18
M.Tech,3.5,8,5,7,4,6,6,4,5,1,1,6,7,1,Software Developer,16.41
B.Sc,3.3,9,9,10,6,6,6,5,9,1,2,3,7,3,Data Scientist,18.69
M.Tech,1.1,10,6,4,3,1,3,1,6,9,2,4,3,1,Embedded Systems Engineer,10.79
BCA,1.8,6,6,4,4,10,7,5,5,3,8,7,3,3,Cloud Engineer,16.76
B.Tech,3.4,4,4,3,2,5,7,4,3,4,8,8,4,2,Network Engineer,15.61
B.Tech,2.7,6,7,5,2,8,8,3,5,3,6,9,9,3,Cloud Engineer,16.98
MBA,5.8,8,5,7,8,6,5,7,10,3,4,5,9,4,ML Engineer,24.21
BCA,2.8,10,6,8,6,7,5,4,7,2,6,7,8,1,ML Engineer,18.8
B.Sc,3.3,5,8,9,4,5,9,5,8,6,1,3,3,2,Data Analyst,14.49
B.Tech,4.0,5,5,7,5,5,8,6,10,1,4,5,7,3,Data Analyst,18.12
M.Tech,1.9,10,10,4,8,8,4,3,5,3,7,7,3,0,ML Engineer,18.1
BCA,4.5,10,10,6,9,8,6,5,4,6,5,5,6,0,ML Engineer,18.6
B.Tech,6.5,5,7,4,4,10,7,6,4,2,9,10,10,3,Cloud Engineer,21.51
B.Tech,3.6,4,2,7,3,3,8,7,9,1,1,4,7,3,Business Analyst,14.46
MBA,5.7,7,6,6,4,4,5,6,6,3,5,4,10,3,Software Developer,22.26
B.Tech,4.8,4,2,6,3,2,9,9,8,2,1,3,8,4,Business Analyst,17.98
B.Sc,3.7,5,7,4,3,3,9,4,10,2,1,5,6,3,Data Analyst,20.8
BCA,4.5,6,9,10,8,3,8,2,9,3,4,7,4,2,Data Scientist,18.99
MBA,3.4,1,3,6,1,4,9,6,5,1,6,3,6,2,Business Analyst,14.59
B.Tech,2.8,10,7,8,1,7,6,6,4,3,3,4,8,2,Software Developer,16.82
B.Sc,3.8,10,10,6,8,5,7,5,8,2,1,6,5,2,Data Scientist,18.39
B.Tech,4.0,7,8,8,3,4,8,2,6,1,1,3,6,2,Data Analyst,17.77
B.Tech,5.7,8,10,10,8,4,7,4,10,1,4,3,10,2,Data Scientist,23.88
Diploma,4.0,9,9,6,9,7,6,5,5,3,6,6,6,1,ML Engineer,17.35
MBA,4.8,8,10,6,8,7,5,5,9,1,4,3,6,2,Data Scientist,18.48
B.Sc,3.4,7,5,6,5,4,7,3,10,1,2,4,8,2,Data Analyst,16.36
B.Tech,2.2,9,9,8,8,8,2,3,6,1,5,8,5,2,ML Engineer,17.16
M.Tech,4.1,7,5,5,3,9,8,7,2,5,8,10,6,3,Cloud Engineer,20.96
MBA,0.6,6,7,8,6,1,6,4,7,2,5,4,3,0,Data Analyst,10.66
M.Tech,4.5,10,8,7,8,9,4,5,6,1,2,7,5,2,ML Engineer,23.91
M.Tech,1.7,3,8,9,3,6,8,7,10,3,4,4,2,1,Data Analyst,14.73
MBA,2.1,7,10,6,3,4,5,4,3,2,4,2,4,2,Software Developer,15.21
B.Tech,3.4,4,4,5,3,8,8,7,1,2,9,5,7,3,Network Engineer,16.04
B.Sc,4.5,6,9,7,6,5,8,5,9,4,3,1,5,2,Data Analyst,16.96
B.Tech,3.2,8,7,8,10,5,6,3,8,5,3,8,4,2,ML Engineer,19.08
B.Tech,2.8,6,4,3,4,10,6,6,5,5,10,5,4,1,Network Engineer,17.06
B.Tech,2.7,7,7,7,3,3,7,5,10,4,1,4,7,2,Data Analyst,16.8
B.Tech,4.4,7,6,1,3,3,7,4,1,8,2,5,7,1,Embedded Systems Engineer,18.64
B.Sc,1.9,6,5,8,2,1,6,2,9,2,3,4,6,1,Data Analyst,12.79
BCA,3.6,5,6,8,3,4,6,3,10,3,2,5,5,2,Data Analyst,15.84
B.Tech,0.8,8,8,6,4,2,5,6,5,1,2,4,3,1,Software Developer,10.87
B.Tech,2.5,8,7,3,3,3,7,2,3,9,5,5,3,2,Embedded Systems Engineer,12.98
B.Tech,0.2,10,9,7,8,7,7,4,7,4,5,9,5,0,ML Engineer,14.17
M.Sc,1.8,5,10,5,1,6,10,6,6,3,5,6,4,2,Software Developer,14.49
M.Tech,4.1,5,4,6,3,1,10,10,7,3,5,3,8,1,Business Analyst,16.2
MBA,2.3,9,4,6,1,5,5,7,5,3,8,6,2,2,Network Engineer,14.88
Diploma,1.1,8,5,7,3,5,6,3,9,1,2,1,4,1,Data Analyst,10.72
BCA,1.7,7,4,9,2,3,8,7,10,3,3,4,5,1,Data Analyst,15.13
B.Tech,4.0,4,3,3,3,6,6,5,1,4,9,8,7,1,Network Engineer,14.22
B.Tech,1.8,8,7,8,3,4,6,3,5,3,3,5,2,1,Data Analyst,12.29
B.Tech,2.0,6,7,9,2,5,6,4,10,3,1,7,3,0,Data Analyst,12.93
M.Sc,1.7,2,3,4,1,4,9,5,5,2,4,1,4,3,Business Analyst,15.34
M.Tech,7.2,7,6,4,2,8,6,3,2,4,6,10,7,4,Cloud Engineer,22.83
B.Tech,3.0,6,6,10,3,4,9,7,8,1,5,5,7,1,Data Analyst,17.46
B.Tech,3.7,4,3,4,1,2,10,8,8,3,1,1,3,2,Business Analyst,15.17
B.Tech,2.8,5,2,5,2,8,8,6,2,1,8,7,5,2,Network Engineer,14.31
MBA,0.9,6,5,8,1,3,5,6,10,3,5,2,5,2,Data Analyst,12.56
M.Tech,0.2,8,5,10,4,5,6,5,5,2,3,5,1,0,Software Developer,11.65
BCA,4.1,7,5,4,3,2,6,3,3,7,4,7,8,3,Embedded Systems Engineer,17.78
B.Tech,3.0,10,8,5,5,5,5,6,6,3,3,5,3,0,Software Developer,14.79
B.Tech,1.8,8,3,4,3,8,7,6,3,1,10,9,7,2,Cloud Engineer,16.36
B.Tech,4.5,7,8,7,3,5,8,2,6,3,5,3,9,3,Software Developer,19.27
MBA,4.1,10,6,6,9,8,8,4,5,4,6,4,6,1,ML Engineer,19.97
B.Tech,0.9,10,10,5,8,5,5,3,9,2,6,7,3,1,ML Engineer,17.05
M.Sc,2.4,8,4,4,1,6,5,7,1,3,5,7,4,3,Network Engineer,15.55
B.Sc,2.7,3,4,5,3,4,9,9,7,4,3,2,3,2,Business Analyst,12.68
MBA,1.5,9,8,9,4,4,6,4,6,1,4,5,4,2,Software Developer,11.35
M.Tech,2.7,8,7,5,7,6,8,3,7,2,7,9,6,2,ML Engineer,19.43
M.Tech,3.8,8,4,6,1,9,6,4,5,3,10,6,8,4,Cloud Engineer,19.79
BCA,5.8,7,4,4,2,10,7,3,3,4,9,9,9,4,Cloud Engineer,21.64
B.Tech,4.5,8,6,2,3,8,6,6,6,2,10,6,7,2,Cloud Engineer,19.52
M.Sc,4.3,10,5,1,5,2,7,2,3,10,4,4,9,1,Embedded Systems Engineer,18.69
B.Sc,2.7,3,2,6,2,3,9,6,7,2,2,1,7,1,Business Analyst,11.37
B.Sc,2.0,9,10,6,9,5,6,4,10,1,5,3,5,2,Data Scientist,18.92
BCA,3.2,9,8,6,5,8,6,4,8,5,3,4,5,1,Software Developer,14.68
M.Tech,3.5,7,6,6,2,10,8,4,7,3,7,10,9,2,Cloud Engineer,19.44
MBA,2.9,7,6,4,1,10,8,4,4,1,8,6,5,0,Cloud Engineer,16.63
MBA,3.5,5,2,6,1,4,9,10,7,2,3,3,6,2,Business Analyst,16.09
MBA,1.1,4,1,2,2,6,7,6,3,1,7,8,4,2,Network Engineer,13.36
B.Sc,4.9,7,8,7,9,5,5,4,9,3,2,5,7,2,Data Scientist,18.36
B.Tech,3.1,5,2,4,2,7,6,7,6,4,9,8,5,1,Network Engineer,13.51
M.Tech,3.6,7,3,6,3,3,6,5,2,10,4,7,5,1,Embedded Systems Engineer,19.27
B.Tech,2.8,8,6,4,3,3,9,3,3,10,7,5,8,3,Embedded Systems Engineer,19.45
B.Tech,3.8,7,4,2,2,8,8,3,3,6,10,6,6,2,Network Engineer,17.73
BCA,4.3,7,9,4,2,9,6,7,2,2,10,9,8,2,Cloud Engineer,20.7
M.Sc,2.9,9,7,5,9,5,5,5,6,5,7,5,4,0,ML Engineer,17.11
B.Tech,3.2,8,8,6,3,4,8,7,6,3,3,6,6,1,Software Developer,13.41
M.Tech,3.7,10,4,2,2,2,4,3,1,8,7,7,7,3,Embedded Systems Engineer,20.67
M.Tech,2.6,7,7,8,9,7,5,5,6,3,4,6,4,1,ML Engineer,18.44
B.Tech,1.6,6,5,6,2,9,6,6,5,3,9,9,6,2,Cloud Engineer,17.87
B.Tech,1.0,8,9,6,7,8,4,3,4,1,5,4,0,1,ML Engineer,13.21
B.Sc,2.3,6,9,5,5,6,7,4,9,6,3,5,3,2,Data Scientist,15.54
B.Sc,3.5,7,7,6,3,5,7,4,6,3,1,4,5,1,Software Developer,15.58
B.Tech,2.8,8,4,4,5,6,7,3,5,2,2,7,6,2,Software Developer,15.51
MBA,3.7,6,6,4,2,6,5,4,2,10,4,5,6,2,Embedded Systems Engineer,17.33
B.Tech,2.0,8,7,7,10,4,6,3,9,2,2,3,6,2,Data Scientist,17.54
MBA,2.5,9,8,6,10,5,5,4,8,1,4,4,3,1,Data Scientist,18.89
MBA,2.1,8,8,6,6,4,6,6,8,1,2,4,6,3,Data Scientist,18.47
M.Tech,2.6,4,6,9,9,6,6,3,10,2,1,5,5,1,Data Scientist,20.01
B.Sc,6.2,9,8,7,10,4,5,6,6,4,4,6,8,4,ML Engineer,24.01
MBA,2.2,7,10,8,10,7,7,3,8,2,5,3,4,3,Data Scientist,18.56
B.Tech,2.2,10,8,7,4,7,7,3,7,3,5,6,3,3,Software Developer,16.82
M.Sc,0.0,8,4,8,4,2,6,4,10,1,5,3,2,0,Data Analyst,11.46
BCA,2.9,10,8,9,8,2,5,5,9,3,2,4,4,2,Data Scientist,17.5
BCA,0.4,4,2,2,1,4,10,9,8,1,5,5,1,0,Business Analyst,5.86
B.Sc,3.2,8,5,8,2,9,5,5,4,4,6,8,6,2,Cloud Engineer,16.93
B.Sc,2.9,9,9,9,2,3,7,5,10,3,1,5,5,2,Data Analyst,16.79
M.Tech,2.9,8,8,5,4,9,5,5,2,2,9,9,7,2,Cloud Engineer,16.15
B.Tech,6.7,4,2,5,3,2,7,8,6,1,1,5,11,1,Business Analyst,18.85
B.Tech,1.5,7,4,3,2,1,8,6,4,10,3,8,2,2,Embedded Systems Engineer,11.01
B.Tech,2.8,10,3,4,2,10,4,8,4,2,8,8,6,1,Cloud Engineer,17.05
MBA,3.0,7,6,3,2,9,4,5,5,2,9,9,5,3,Cloud Engineer,19.78
B.Tech,2.6,9,5,1,2,2,3,3,2,10,4,6,2,3,Embedded Systems Engineer,15.87
BCA,2.0,6,5,8,2,5,6,4,6,1,1,1,5,3,Data Analyst,14.37
B.Tech,2.0,7,5,1,2,2,5,2,3,10,4,8,6,2,Embedded Systems Engineer,14.44
MBA,4.0,10,2,2,3,3,7,6,3,10,3,7,9,3,Embedded Systems Engineer,19.39
B.Tech,1.0,7,6,5,2,10,5,6,1,1,7,10,3,1,Cloud Engineer,11.7
B.Tech,1.4,9,2,3,2,6,9,2,2,5,9,7,4,2,Network Engineer,13.8
Diploma,3.5,10,7,6,10,3,6,2,6,3,4,6,4,4,ML Engineer,21.42
M.Sc,1.5,6,7,9,1,3,8,6,8,1,4,3,2,1,Data Analyst,11.72
B.Sc,2.4,7,7,9,2,5,6,4,10,1,3,5,5,1,Data Analyst,15.45
M.Sc,0.2,7,3,4,3,1,5,3,2,10,5,7,3,0,Embedded Systems Engineer,10.4
MBA,4.6,3,3,8,1,3,9,8,7,2,4,1,5,1,Business Analyst,14.19
M.Tech,1.6,8,4,2,4,2,6,4,3,10,2,7,4,1,Embedded Systems Engineer,16.49
M.Sc,4.2,9,7,8,6,8,4,6,7,4,5,5,5,3,ML Engineer,21.3
M.Tech,3.7,8,9,8,10,6,4,3,5,4,6,7,4,4,ML Engineer,20.83
B.Sc,1.7,8,6,5,5,4,4,5,8,4,3,3,3,1,Software Developer,11.32
B.Tech,2.9,7,5,6,3,4,6,3,5,1,5,5,3,2,Software Developer,13.02
MBA,4.4,7,5,6,3,7,8,5,3,2,8,9,5,1,Cloud Engineer,16.83
B.Tech,2.8,3,2,8,3,3,9,6,4,2,4,2,4,2,Business Analyst,13.21
B.Sc,1.4,9,10,8,8,6,5,4,7,2,4,8,1,1,ML Engineer,12.84
B.Tech,2.3,8,7,8,3,3,5,5,6,3,5,5,5,2,Software Developer,16.48
B.Sc,3.2,10,8,6,2,4,5,5,6,1,4,7,5,1,Software Developer,12.97
B.Sc,3.0,9,9,9,9,7,8,4,5,6,4,7,7,1,ML Engineer,17.97
M.Tech,2.2,6,7,2,4,8,6,3,4,6,10,7,6,1,Cloud Engineer,18.93
BCA,3.6,6,10,6,6,7,6,4,8,4,5,8,6,4,ML Engineer,18.05
B.Tech,1.5,10,7,5,8,4,6,4,8,1,4,5,2,0,ML Engineer,16.47
M.Tech,3.9,9,6,7,3,4,8,3,7,2,4,3,7,3,Software Developer,17.9
B.Tech,3.4,4,1,4,1,3,7,9,9,2,4,2,6,1,Business Analyst,16.07
M.Sc,1.5,9,10,6,5,5,7,7,6,3,6,4,2,0,Software Developer,11.03
M.Sc,2.4,7,10,5,8,5,6,6,8,1,4,4,5,1,Data Scientist,17.44
M.Sc,1.9,4,3,6,2,1,7,8,8,3,3,2,2,1,Business Analyst,12.51
M.Tech,1.9,3,1,4,4,1,9,9,5,4,2,1,3,1,Business Analyst,13.06
B.Tech,4.8,4,4,7,3,3,9,8,4,2,1,4,7,3,Business Analyst,15.0
B.Tech,4.7,7,5,6,4,7,6,6,3,1,10,7,7,3,Cloud Engineer,18.77
MBA,4.6,8,5,5,3,8,7,2,4,3,10,8,7,4,Cloud Engineer,22.78
B.Sc,1.3,6,8,7,2,9,6,5,2,2,10,8,3,0,Cloud Engineer,13.5
M.Tech,0.8,6,9,6,4,3,10,4,6,2,7,8,5,2,Software Developer,13.86
M.Tech,2.5,9,9,6,7,5,5,3,6,2,5,6,4,1,Software Developer,14.06
B.Tech,2.4,10,10,5,8,8,7,4,8,4,6,6,5,3,ML Engineer,17.81
B.Tech,4.2,8,5,7,2,8,8,6,4,3,8,9,8,3,Cloud Engineer,19.51
M.Tech,1.7,10,5,6,4,3,7,4,5,3,5,4,5,0,Software Developer,15.3
BCA,2.4,10,4,5,2,5,7,4,5,3,5,3,4,2,Software Developer,14.61
M.Sc,1.4,7,10,7,8,6,8,8,10,4,3,3,3,1,Data Scientist,15.08
B.Tech,1.0,6,7,6,2,4,6,5,7,3,1,4,4,1,Data Analyst,12.17
BCA,3.0,9,10,7,9,7,5,5,7,3,4,7,4,2,ML Engineer,18.1
B.Tech,4.6,3,5,7,5,3,8,4,8,1,3,4,7,3,Business Analyst,18.61
B.Sc,2.4,7,4,5,2,7,5,7,4,3,8,9,5,2,Cloud Engineer,15.49
B.Tech,6.7,6,5,1,4,7,5,4,1,3,10,9,12,3,Network Engineer,22.41
B.Tech,0.5,10,6,6,4,4,8,8,5,3,5,8,2,0,Software Developer,10.07
B.Tech,0.4,7,10,3,9,6,7,6,8,3,5,7,2,2,ML Engineer,14.23
B.Tech,4.7,6,7,6,3,7,6,5,6,3,2,4,5,3,Data Analyst,15.45
M.Sc,5.4,9,7,9,10,8,7,4,8,2,3,5,9,1,ML Engineer,22.65
M.Sc,4.0,10,7,6,8,8,5,4,7,3,7,7,8,3,ML Engineer,24.37
B.Tech,4.7,7,5,4,1,8,6,5,1,4,8,7,7,3,Network Engineer,19.22
B.Tech,4.9,3,1,6,1,4,10,5,7,2,2,2,7,3,Business Analyst,17.22
MBA,2.4,6,4,4,4,1,5,2,2,9,4,4,3,2,Embedded Systems Engineer,16.35
M.Sc,3.5,7,4,8,5,3,6,4,10,4,3,5,5,0,Data Analyst,13.95
B.Sc,4.6,10,8,5,10,8,5,5,6,3,2,7,8,2,ML Engineer,21.46
M.Tech,5.0,4,3,6,1,4,10,7,8,2,1,1,9,3,Business Analyst,18.04
Diploma,1.7,6,6,4,2,7,6,4,2,3,10,7,6,2,Network Engineer,13.45
B.Tech,1.4,3,5,7,6,1,9,8,8,1,4,3,1,1,Business Analyst,9.76
MBA,0.6,7,4,3,1,4,5,5,4,9,4,6,4,1,Embedded Systems Engineer,13.01
BCA,2.1,10,10,8,10,10,6,5,6,3,7,5,3,3,ML Engineer,20.02
B.Tech,2.7,3,3,7,1,3,8,6,7,1,3,1,8,0,Business Analyst,13.77
MBA,1.5,7,4,2,1,7,8,4,3,5,8,9,6,1,Network Engineer,12.88
M.Tech,2.1,9,8,9,9,4,7,3,8,2,4,2,6,2,Data Scientist,17.81
B.Tech,2.3,6,5,6,1,10,8,5,3,4,8,8,6,3,Cloud Engineer,15.31
B.Tech,5.4,10,8,8,10,6,7,4,9,3,4,4,10,3,Data Scientist,22.51
B.Tech,1.9,7,7,7,5,3,6,4,5,5,5,3,5,3,Software Developer,16.44
MBA,3.4,6,7,5,10,8,5,2,9,1,3,5,6,1,Data Scientist,19.75
MBA,2.1,7,2,5,2,4,8,4,2,4,8,10,2,2,Network Engineer,14.42
B.Sc,4.3,3,7,8,4,2,6,4,10,1,1,3,8,1,Data Analyst,13.72
B.Tech,1.5,5,8,6,4,5,7,3,9,4,3,3,4,0,Data Analyst,13.02
B.Sc,4.2,5,1,6,3,1,6,8,6,1,2,2,7,1,Business Analyst,14.3
M.Tech,3.3,7,8,7,1,3,6,5,6,4,5,5,9,2,Software Developer,17.36
M.Tech,3.1,6,8,6,9,6,9,6,9,1,4,4,7,3,Data Scientist,20.06
B.Tech,3.0,9,3,2,3,6,5,4,4,9,7,6,6,0,Embedded Systems Engineer,18.15
B.Tech,3.4,7,4,2,2,10,9,6,4,5,10,7,4,2,Network Engineer,14.99
M.Sc,1.8,6,8,10,8,5,6,7,10,2,3,5,5,0,Data Scientist,17.73
B.Sc,1.8,7,10,8,9,8,6,6,7,3,5,8,3,2,ML Engineer,15.48
B.Tech,6.7,5,7,6,3,7,8,8,4,3,9,9,9,3,Cloud Engineer,23.76
M.Tech,3.1,4,2,4,1,6,10,4,4,3,10,9,7,2,Network Engineer,19.5
B.Tech,3.5,6,5,7,5,5,7,4,6,1,6,2,6,3,Data Analyst,14.15
B.Tech,4.0,9,3,2,3,3,4,6,2,9,6,3,4,3,Embedded Systems Engineer,12.92
M.Sc,1.2,8,7,5,4,4,7,3,5,4,3,7,2,1,Software Developer,14.19
B.Tech,3.3,7,7,4,3,9,7,4,2,4,10,8,4,3,Cloud Engineer,16.36
M.Sc,2.3,10,8,8,3,5,6,4,6,2,4,4,4,2,Software Developer,14.71
B.Sc,4.5,8,3,5,1,10,6,6,2,2,9,8,8,3,Cloud Engineer,18.25
M.Tech,4.7,10,8,5,9,5,5,3,10,1,4,4,8,2,Data Scientist,22.56
B.Tech,4.7,7,4,3,1,8,7,3,4,2,9,8,8,3,Network Engineer,14.36
M.Tech,6.3,10,8,5,9,5,5,4,7,6,4,8,7,4,ML Engineer,22.77
M.Tech,3.1,6,6,8,3,3,9,4,7,4,5,2,6,1,Data Analyst,16.03
BCA,3.6,8,7,4,4,4,7,5,7,3,3,5,7,2,Software Developer,16.57
B.Tech,4.8,4,6,1,2,3,7,6,2,8,6,4,8,4,Embedded Systems Engineer,19.51
BCA,4.5,10,10,8,10,10,7,5,10,1,5,9,8,5,ML Engineer,24.11
Diploma,4.6,7,7,10,1,4,7,5,8,2,3,3,5,2,Data Analyst,13.22
B.Tech,3.6,10,10,6,9,5,7,7,10,3,3,2,6,3,Data Scientist,18.24
B.Tech,1.9,6,5,7,4,4,8,4,9,3,3,2,2,0,Data Analyst,13.63
M.Sc,5.8,8,9,8,10,6,5,4,7,4,2,7,8,2,ML Engineer,22.58
B.Sc,1.9,8,7,7,2,6,5,6,6,2,6,3,5,2,Software Developer,13.01
B.Tech,2.9,3,3,5,2,1,10,8,9,3,1,1,2,5,Business Analyst,13.85
BCA,1.1,8,6,4,5,10,6,6,4,1,10,8,5,1,Cloud Engineer,16.68
M.Tech,6.1,6,5,2,1,9,6,3,5,6,10,8,8,3,Network Engineer,23.47
B.Tech,2.4,6,5,5,1,7,7,4,5,3,9,10,4,1,Cloud Engineer,16.21
B.Tech,3.0,7,5,8,1,1,7,4,9,2,3,4,4,2,Data Analyst,15.77
B.Tech,2.6,9,8,6,5,6,8,2,6,4,5,6,5,1,Software Developer,13.21
BCA,3.5,7,10,8,8,9,6,4,8,2,6,6,4,1,ML Engineer,19.64
B.Tech,1.3,7,7,1,3,3,4,5,2,6,5,4,1,2,Embedded Systems Engineer,11.4
BCA,2.2,8,7,7,4,4,7,6,4,3,3,7,2,1,Software Developer,13.53
BCA,2.1,4,1,5,2,4,8,4,1,6,9,8,3,0,Network Engineer,9.87
B.Tech,1.8,3,4,4,2,2,9,7,7,2,1,2,3,1,Business Analyst,11.59
B.Sc,2.4,7,9,6,8,6,7,3,10,1,1,4,4,2,Data Scientist,18.39
B.Tech,2.6,9,7,5,8,8,7,6,10,1,2,3,2,2,Data Scientist,12.81
M.Tech,3.4,6,6,7,6,7,5,5,5,4,5,2,5,2,Software Developer,15.15
B.Tech,2.4,8,10,8,9,7,4,5,10,1,1,3,3,2,Data Scientist,16.29
B.Tech,4.0,4,7,9,1,2,7,4,7,3,3,3,5,3,Data Analyst,17.58
B.Tech,3.5,2,1,8,1,1,10,7,7,1,3,1,8,1,Business Analyst,15.02
M.Sc,2.5,6,6,4,2,7,9,5,2,1,9,8,3,1,Network Engineer,11.78
M.Sc,3.3,9,3,2,1,1,4,4,3,7,1,8,6,3,Embedded Systems Engineer,18.32
BCA,3.5,9,8,8,8,5,7,5,10,2,1,3,7,2,Data Scientist,18.79
Diploma,3.7,10,9,7,9,7,7,4,7,3,6,6,6,4,ML Engineer,22.2
B.Sc,4.1,8,5,2,1,1,8,6,2,10,2,7,7,3,Embedded Systems Engineer,14.42
B.Tech,4.6,5,8,8,8,7,5,6,9,1,4,4,4,3,Data Scientist,21.0
B.Tech,3.3,9,9,9,6,4,3,4,9,2,4,2,7,2,Data Scientist,19.9
MBA,1.4,1,2,6,1,4,10,9,10,2,1,3,4,3,Business Analyst,14.49
B.Tech,0.4,5,9,7,1,2,9,4,8,2,4,5,4,1,Data Analyst,9.07
MBA,4.3,9,9,6,4,7,8,4,5,4,7,5,10,2,Software Developer,21.65
B.Tech,4.5,4,1,1,3,7,7,8,3,6,9,7,6,3,Network Engineer,18.4
M.Sc,2.7,9,6,8,2,5,5,6,5,3,5,2,4,3,Software Developer,17.07
B.Sc,3.6,8,8,6,6,5,7,3,9,5,5,6,6,3,Data Scientist,18.08
MBA,3.1,5,1,9,2,4,7,4,6,1,5,2,4,2,Business Analyst,14.77
M.Sc,2.2,7,6,3,4,2,7,3,8,3,3,4,6,1,Data Analyst,13.37
B.Tech,1.7,9,10,7,10,8,8,5,8,2,6,7,5,0,ML Engineer,18.66
M.Tech,4.8,8,8,5,10,9,6,4,9,4,6,5,8,2,ML Engineer,21.81
B.Tech,3.7,7,5,2,2,3,5,3,4,8,3,6,9,3,Embedded Systems Engineer,18.17
B.Sc,1.8,6,10,7,7,5,4,3,9,2,4,4,3,1,Data Scientist,14.25
M.Sc,1.1,9,7,6,5,6,8,6,6,3,4,5,3,1,Software Developer,14.72
B.Tech,3.2,2,3,5,1,8,6,4,4,4,6,7,7,2,Network Engineer,17.76
B.Tech,5.4,7,5,4,2,8,6,5,1,3,7,9,8,2,Network Engineer,18.21
M.Tech,4.1,5,5,6,5,7,7,4,4,5,8,9,8,1,Network Engineer,19.06
MBA,2.6,6,9,7,8,5,8,5,7,1,4,9,5,1,ML Engineer,19.16
